SPEED,MAF,ENGINE_RPM,THROTTLE_POS,INTAKE_MANIFOLD_PRESSURE,ENGINE_LOAD,FUEL_RATE,FUEL_CONSUMPTION
24.0,3.07,1064.0,22.0,101.0,28.2,0.9168740666998508,3.820308611249378
3.0,4.17,805.0,20.4,44.0,40.8,1.2453957192633152,41.5131906421105
42.0,5.8,2483.0,26.0,65.0,16.9,1.7322050771528126,4.124297802744792
28.0,5.89,1549.0,19.0,30.0,51.4,1.7590841214534596,6.282443290905213
85.0,16.95,2356.0,24.0,30.0,54.9,5.062220009955202,5.955552952888473
86.0,22.54,2320.0,26.0,30.0,73.7,6.7317073170731705,7.8275666477595
19.0,8.84,1590.0,22.0,30.0,56.1,2.6401194624191144,13.895365591679552
9.0,2.13,788.0,12.0,30.0,22.4,0.6361373817819811,7.068193130910901
18.0,2.43,989.0,18.0,30.0,29.4,0.7257341961174714,4.031856645097063
36.0,9.9,1687.0,30.2,28.0,38.8,2.95669487307118,8.213041314086611
33.0,15.08,1188.0,32.2,76.0,81.2,4.5037332005973125,13.6476763654464
24.0,2.51,1214.0,18.0,30.0,26.7,0.7496266799402689,3.12344449975112
46.0,21.64,2039.0,28.0,30.0,83.1,6.4629168740667,14.049819291449348
12.0,2.32,703.0,18.0,30.0,33.3,0.692882030861125,5.774016923842709
50.0,7.96,1591.0,26.7,52.0,34.5,2.3773021403683425,4.754604280736685
35.0,11.04,1618.0,22.0,30.0,42.7,3.297162767546043,9.42046505013155
8.0,3.67,660.0,20.4,44.0,40.8,1.0960676953708313,13.70084619213539
47.0,17.01,1374.0,31.8,72.0,83.1,5.0801393728223,10.80880717621766
58.0,3.75,1446.0,19.0,30.0,31.0,1.119960179193629,1.9309658261959115
42.0,3.87,1477.0,21.2,35.0,18.4,1.1557989049278248,2.751902154590059
93.0,11.79,2576.0,22.0,30.0,32.5,3.5211548033847686,3.786187960628783
49.0,4.4,1667.0,22.0,19.0,18.0,1.3140866102538578,2.6818094086813424
50.0,10.26,1667.0,28.6,36.0,42.0,3.0642110502737685,6.128422100547537
7.0,7.2,1266.0,20.0,30.0,46.7,2.1503235440517674,30.71890777216811
6.0,2.41,801.0,12.0,30.0,27.1,0.7197610751617721,11.996017919362869
25.0,11.27,1055.0,30.6,71.0,45.9,3.365853658536585,13.463414634146345
16.0,12.17,1697.0,23.0,30.0,67.8,3.634644101543057,22.716525634644107
27.0,2.98,929.0,19.0,30.0,34.1,0.8899950223992037,3.296277860737792
83.0,9.76,2193.0,21.0,30.0,43.5,2.9148830263812844,3.511907260700343
54.0,6.37,1986.0,23.1,19.0,54.9,1.902439024390244,3.523035230352303
89.0,26.93,2397.0,30.0,30.0,80.0,8.042807366849178,9.036862209942898
66.0,21.38,1806.0,42.0,30.0,91.4,6.385266301642608,9.67464591157971
112.0,8.84,2978.0,21.0,30.0,32.9,2.6401194624191144,2.3572495200170662
68.0,4.2,2543.0,20.0,30.0,25.9,1.2543554006968642,1.8446402951424477
41.0,23.27,1924.0,34.9,21.0,80.8,6.949726231956197,16.95055178525902
24.0,1.97,926.0,12.0,30.0,17.6,0.5883524141363863,2.451468392234943
44.0,9.9,2129.0,27.8,31.0,31.4,2.95669487307118,6.719761075161773
43.0,13.19,1432.0,31.0,18.0,18.0,3.939273270283723,9.161100628566796
131.0,32.89,3381.0,29.0,30.0,72.2,9.822797411647588,7.498318634845486
36.0,6.67,1804.0,28.0,27.0,25.5,1.9920358387257344,5.533432885349263
35.0,8.31,1000.0,32.0,84.0,59.2,2.481831757093081,7.090947877408804
49.0,3.92,1495.0,24.0,55.0,17.6,1.170731707317073,2.389248382279741
13.0,4.39,1134.0,25.0,73.0,27.1,1.311100049776008,10.085384998276984
49.0,7.85,1586.0,29.0,47.0,33.3,2.344449975111996,4.784591785942849
3.0,4.84,874.0,20.0,30.0,54.1,1.4454952712792437,48.18317570930812
57.0,8.94,1712.0,17.0,30.0,42.0,2.669985067197611,4.684184328416861
78.0,19.92,1994.0,26.0,30.0,78.4,5.949228471876556,7.627215989585329
37.0,6.26,2128.0,24.3,20.0,20.0,1.869586859133897,5.052937457118642
118.0,25.09,3002.0,27.0,30.0,66.7,7.4932802389248385,6.35023749061427
16.0,4.74,865.0,21.2,35.0,44.7,1.4156296665007466,8.847685415629666
17.0,7.15,871.0,21.0,30.0,47.1,2.135390741662518,12.56112200977952
46.0,21.47,2023.0,33.7,59.0,71.4,6.412145345943256,13.939446404224473
54.0,23.12,2031.0,28.0,30.0,83.5,6.9049278247884525,12.786903379237874
2.0,5.47,1055.0,27.0,51.0,34.5,1.6336485813837731,81.68242906918866
41.0,4.19,894.0,19.6,64.0,35.7,1.2513688402190146,3.052119122485401
16.0,3.21,1039.0,18.4,34.0,19.6,0.9586859133897464,5.991786958685914
77.0,19.6,1867.0,27.0,30.0,85.9,5.853658536585366,7.602153943617358
90.0,17.81,2349.0,24.0,30.0,61.2,5.319064211050273,5.910071345611415
12.0,3.03,978.0,19.0,30.0,31.4,0.904927824788452,7.541065206570432
53.0,32.56,2419.0,37.3,62.0,89.4,9.724240915878548,18.347624369582167
36.0,26.71,2446.0,35.3,55.0,71.0,7.977103036336486,22.15861954537913
40.0,3.49,1152.0,18.0,27.0,20.8,1.0423096067695372,2.605774016923843
21.0,3.51,1030.0,19.0,30.0,36.5,1.0482827277252365,4.991822512977316
47.0,14.45,1611.0,25.5,19.0,63.9,4.315579890492783,9.1820848733889
46.0,17.82,1899.0,26.0,30.0,71.0,5.322050771528123,11.569675590278528
66.0,6.51,1774.0,20.0,30.0,38.4,1.94425087108014,2.9458346531517265
61.0,7.76,1976.0,29.0,40.0,25.9,2.317570930811349,3.7992966078874577
86.0,16.06,2183.0,24.0,30.0,58.8,4.79641612742658,5.577228055147186
29.0,2.26,1096.0,18.0,30.0,27.1,0.6749626679940269,2.3274574758414723
107.0,29.95,2609.0,30.0,30.0,85.1,8.944748631159781,8.359578159962412
36.0,5.14,1866.0,23.1,19.0,19.2,1.535092085614734,4.26414468226315
62.0,19.73,1907.0,26.0,30.0,74.9,5.892483822797412,9.504006165802275
44.0,10.96,777.0,31.4,70.0,38.8,3.273270283723245,7.439250644825559
71.0,35.29,2261.0,38.4,81.0,100.0,10.53957192633151,14.844467501875366
19.0,8.29,773.0,28.2,54.0,42.0,2.4758586361373816,13.030834927038851
55.0,21.68,2618.0,33.7,52.0,55.7,6.474863115978099,11.772478392687454
38.0,5.91,2062.0,24.3,44.0,19.2,1.765057242409159,4.644887480024103
45.0,26.75,2099.0,35.7,52.0,85.9,7.989049278247885,17.753442840550854
60.0,16.06,1953.0,24.0,30.0,70.2,4.79641612742658,7.994026879044299
19.0,2.6,925.0,18.0,30.0,31.4,0.7765057242409159,4.086872232846925
44.0,14.52,2241.0,32.5,26.0,42.0,4.33648581383773,9.855649576903932
60.0,4.36,1669.0,22.4,20.0,17.3,1.3021403683424593,2.170233947237432
37.0,25.0,1537.0,37.3,69.0,100.0,7.466401194624192,20.17946268817349
